year,county_ID,county_name,urbanicity,region,pop_category,population,prison_population
1991,6001,Alameda,urban,West,Total,896633,3804
1992,6001,Alameda,urban,West,Total,905440,3863
1993,6001,Alameda,urban,West,Total,905948,3987
1994,6001,Alameda,urban,West,Total,904792,4236
1995,6001,Alameda,urban,West,Total,906566,4325
1996,6001,Alameda,urban,West,Total,914648,4713
1997,6001,Alameda,urban,West,Total,935240,4873
1998,6001,Alameda,urban,West,Total,960308,5046
1999,6001,Alameda,urban,West,Total,980847,5144
2000,6001,Alameda,urban,West,Total,1001712,5401
2001,6001,Alameda,urban,West,Total,1020661,5210
2002,6001,Alameda,urban,West,Total,1017808,5165
2003,6001,Alameda,urban,West,Total,1013418,4832
2004,6001,Alameda,urban,West,Total,1009491,4845
2005,6001,Alameda,urban,West,Total,1008446,4866
2006,6001,Alameda,urban,West,Total,1013204,4878
2007,6001,Alameda,urban,West,Total,1022616,4752
2008,6001,Alameda,urban,West,Total,1037557,4910
2009,6001,Alameda,urban,West,Total,1051949,4766
2010,6001,Alameda,urban,West,Total,1059247,4600
2011,6001,Alameda,urban,West,Total,1061211,4109
2012,6001,Alameda,urban,West,Total,1073527,3809
2013,6001,Alameda,urban,West,Total,1087374,3888
2014,6001,Alameda,urban,West,Total,1102981,3824
2015,6001,Alameda,urban,West,Total,1120496,3762
1991,6005,Amador,rural,West,Total,20956,108
1992,6005,Amador,rural,West,Total,21182,95
1993,6005,Amador,rural,West,Total,21410,114
1994,6005,Amador,rural,West,Total,21558,115
1995,6005,Amador,rural,West,Total,21723,109
1996,6005,Amador,rural,West,Total,21917,100
1997,6005,Amador,rural,West,Total,22285,120
1998,6005,Amador,rural,West,Total,22332,108
1999,6005,Amador,rural,West,Total,23081,122
2000,6005,Amador,rural,West,Total,23276,129
2001,6005,Amador,rural,West,Total,23780,129
2002,6005,Amador,rural,West,Total,24465,147
2003,6005,Amador,rural,West,Total,24772,169
2004,6005,Amador,rural,West,Total,25208,175
2005,6005,Amador,rural,West,Total,25754,198
2006,6005,Amador,rural,West,Total,26016,197
2007,6005,Amador,rural,West,Total,26203,205
2008,6005,Amador,rural,West,Total,25694,205
2009,6005,Amador,rural,West,Total,25531,212
2010,6005,Amador,rural,West,Total,25259,202
2011,6005,Amador,rural,West,Total,25033,159
2012,6005,Amador,rural,West,Total,24673,149
2013,6005,Amador,rural,West,Total,23914,146
2014,6005,Amador,rural,West,Total,23193,138
2015,6005,Amador,rural,West,Total,22959,111
1991,6007,Butte,small/mid,West,Total,116259,550
1992,6007,Butte,small/mid,West,Total,118061,659
1993,6007,Butte,small/mid,West,Total,119412,753
1994,6007,Butte,small/mid,West,Total,120387,839
1995,6007,Butte,small/mid,West,Total,121475,869
1996,6007,Butte,small/mid,West,Total,121829,988
1997,6007,Butte,small/mid,West,Total,124290,1056
1998,6007,Butte,small/mid,West,Total,127040,1112
1999,6007,Butte,small/mid,West,Total,129161,1105
2000,6007,Butte,small/mid,West,Total,131928,1100
2001,6007,Butte,small/mid,West,Total,134856,1136
2002,6007,Butte,small/mid,West,Total,138152,1154
2003,6007,Butte,small/mid,West,Total,140616,1203
2004,6007,Butte,small/mid,West,Total,142734,1361
2005,6007,Butte,small/mid,West,Total,144683,1282
2006,6007,Butte,small/mid,West,Total,146570,1334
2007,6007,Butte,small/mid,West,Total,147050,1259
2008,6007,Butte,small/mid,West,Total,148046,1237
2009,6007,Butte,small/mid,West,Total,148295,1190
2010,6007,Butte,small/mid,West,Total,148426,1211
2011,6007,Butte,small/mid,West,Total,148377,1076
2012,6007,Butte,small/mid,West,Total,148208,964
2013,6007,Butte,small/mid,West,Total,147953,978
2014,6007,Butte,small/mid,West,Total,147841,1023
2015,6007,Butte,small/mid,West,Total,148189,905
1991,6009,Calaveras,rural,West,Total,20796,44
1992,6009,Calaveras,rural,West,Total,21662,48
1993,6009,Calaveras,rural,West,Total,22033,46
1994,6009,Calaveras,rural,West,Total,22741,55
1995,6009,Calaveras,rural,West,Total,23134,44
1996,6009,Calaveras,rural,West,Total,23558,73
1997,6009,Calaveras,rural,West,Total,24157,83
1998,6009,Calaveras,rural,West,Total,24739,74
1999,6009,Calaveras,rural,West,Total,25242,69
2000,6009,Calaveras,rural,West,Total,25823,65
2001,6009,Calaveras,rural,West,Total,26466,68
2002,6009,Calaveras,rural,West,Total,27285,88
2003,6009,Calaveras,rural,West,Total,28188,98
2004,6009,Calaveras,rural,West,Total,28881,120
2005,6009,Calaveras,rural,West,Total,29534,132
2006,6009,Calaveras,rural,West,Total,30018,148
2007,6009,Calaveras,rural,West,Total,30045,145
2008,6009,Calaveras,rural,West,Total,29857,137
2009,6009,Calaveras,rural,West,Total,29312,115
2010,6009,Calaveras,rural,West,Total,29012,114
2011,6009,Calaveras,rural,West,Total,28918,112
2012,6009,Calaveras,rural,West,Total,28520,98
2013,6009,Calaveras,rural,West,Total,27868,113
2014,6009,Calaveras,rural,West,Total,27512,98
2015,6009,Calaveras,rural,West,Total,27214,96
1991,6011,Colusa,rural,West,Total,10038,65
1992,6011,Colusa,rural,West,Total,10188,50
1993,6011,Colusa,rural,West,Total,10245,59
1994,6011,Colusa,rural,West,Total,10389,69
1995,6011,Colusa,rural,West,Total,10639,69
1996,6011,Colusa,rural,West,Total,10887,75
1997,6011,Colusa,rural,West,Total,11202,95
1998,6011,Colusa,rural,West,Total,11423,115
1999,6011,Colusa,rural,West,Total,11655,107
2000,6011,Colusa,rural,West,Total,11853,95
2001,6011,Colusa,rural,West,Total,12004,78
2002,6011,Colusa,rural,West,Total,12210,75
2003,6011,Colusa,rural,West,Total,12456,85
2004,6011,Colusa,rural,West,Total,12765,80
2005,6011,Colusa,rural,West,Total,13063,101
2006,6011,Colusa,rural,West,Total,13324,91
2007,6011,Colusa,rural,West,Total,13476,84
2008,6011,Colusa,rural,West,Total,13469,81
2009,6011,Colusa,rural,West,Total,13528,87
2010,6011,Colusa,rural,West,Total,13658,96
2011,6011,Colusa,rural,West,Total,13702,74
2012,6011,Colusa,rural,West,Total,13636,59
2013,6011,Colusa,rural,West,Total,13608,67
2014,6011,Colusa,rural,West,Total,13588,71
2015,6011,Colusa,rural,West,Total,13476,63
1991,6013,Contra Costa,suburban,West,Total,548434,1345
1992,6013,Contra Costa,suburban,West,Total,558011,1402
1993,6013,Contra Costa,suburban,West,Total,562258,1651
1994,6013,Contra Costa,suburban,West,Total,565437,1808
1995,6013,Contra Costa,suburban,West,Total,569606,1957
1996,6013,Contra Costa,suburban,West,Total,575619,2164
1997,6013,Contra Costa,suburban,West,Total,591223,2310
1998,6013,Contra Costa,suburban,West,Total,607304,2252
1999,6013,Contra Costa,suburban,West,Total,620545,2265
2000,6013,Contra Costa,suburban,West,Total,633387,2205
2001,6013,Contra Costa,suburban,West,Total,647878,2062
2002,6013,Contra Costa,suburban,West,Total,655357,2154
2003,6013,Contra Costa,suburban,West,Total,661705,2066
2004,6013,Contra Costa,suburban,West,Total,666442,2060
2005,6013,Contra Costa,suburban,West,Total,672230,1970
2006,6013,Contra Costa,suburban,West,Total,674874,1994
2007,6013,Contra Costa,suburban,West,Total,680611,1922
2008,6013,Contra Costa,suburban,West,Total,688778,1931
2009,6013,Contra Costa,suburban,West,Total,698235,1954
2010,6013,Contra Costa,suburban,West,Total,704883,1916
2011,6013,Contra Costa,suburban,West,Total,707408,1859
2012,6013,Contra Costa,suburban,West,Total,716014,1785
2013,6013,Contra Costa,suburban,West,Total,721429,1809
2014,6013,Contra Costa,suburban,West,Total,729743,1857
2015,6013,Contra Costa,suburban,West,Total,738053,1873
1991,6015,Del Norte,rural,West,Total,17624,90
1992,6015,Del Norte,rural,West,Total,17821,88
1993,6015,Del Norte,rural,West,Total,18305,111
1994,6015,Del Norte,rural,West,Total,18439,135
1995,6015,Del Norte,rural,West,Total,18154,146
1996,6015,Del Norte,rural,West,Total,18279,165
1997,6015,Del Norte,rural,West,Total,18732,175
1998,6015,Del Norte,rural,West,Total,18838,175
1999,6015,Del Norte,rural,West,Total,18528,177
2000,6015,Del Norte,rural,West,Total,18525,175
2001,6015,Del Norte,rural,West,Total,18580,162
2002,6015,Del Norte,rural,West,Total,18687,156
2003,6015,Del Norte,rural,West,Total,18939,170
2004,6015,Del Norte,rural,West,Total,19246,165
2005,6015,Del Norte,rural,West,Total,19602,171
2006,6015,Del Norte,rural,West,Total,19553,150
2007,6015,Del Norte,rural,West,Total,19809,143
2008,6015,Del Norte,rural,West,Total,19783,143
2009,6015,Del Norte,rural,West,Total,19834,144
2010,6015,Del Norte,rural,West,Total,19749,127
2011,6015,Del Norte,rural,West,Total,19675,115
2012,6015,Del Norte,rural,West,Total,19543,132
2013,6015,Del Norte,rural,West,Total,19222,116
2014,6015,Del Norte,rural,West,Total,18796,112
2015,6015,Del Norte,rural,West,Total,18085,102
1991,6017,El Dorado,suburban,West,Total,85650,204
1992,6017,El Dorado,suburban,West,Total,87719,223
1993,6017,El Dorado,suburban,West,Total,89715,236
1994,6017,El Dorado,suburban,West,Total,91033,230
1995,6017,El Dorado,suburban,West,Total,92620,295
1996,6017,El Dorado,suburban,West,Total,94078,351
1997,6017,El Dorado,suburban,West,Total,96673,385
1998,6017,El Dorado,suburban,West,Total,99430,431
1999,6017,El Dorado,suburban,West,Total,101716,448
2000,6017,El Dorado,suburban,West,Total,104190,461
2001,6017,El Dorado,suburban,West,Total,107017,462
2002,6017,El Dorado,suburban,West,Total,110317,458
2003,6017,El Dorado,suburban,West,Total,112817,431
2004,6017,El Dorado,suburban,West,Total,115236,443
2005,6017,El Dorado,suburban,West,Total,118304,427
2006,6017,El Dorado,suburban,West,Total,119919,469
2007,6017,El Dorado,suburban,West,Total,120525,491
2008,6017,El Dorado,suburban,West,Total,120844,487
2009,6017,El Dorado,suburban,West,Total,121404,457
2010,6017,El Dorado,suburban,West,Total,121389,467
2011,6017,El Dorado,suburban,West,Total,121436,407
2012,6017,El Dorado,suburban,West,Total,121020,401
2013,6017,El Dorado,suburban,West,Total,119560,420
2014,6017,El Dorado,suburban,West,Total,119240,406
2015,6017,El Dorado,suburban,West,Total,119339,399
1991,6019,Fresno,small/mid,West,Total,427560,2949
1992,6019,Fresno,small/mid,West,Total,439033,3136
1993,6019,Fresno,small/mid,West,Total,447358,3641
1994,6019,Fresno,small/mid,West,Total,453969,3856
1995,6019,Fresno,small/mid,West,Total,459457,4270
1996,6019,Fresno,small/mid,West,Total,467914,4560
1997,6019,Fresno,small/mid,West,Total,478029,4884
1998,6019,Fresno,small/mid,West,Total,486709,4829
1999,6019,Fresno,small/mid,West,Total,497093,4697
2000,6019,Fresno,small/mid,West,Total,507430,4722
2001,6019,Fresno,small/mid,West,Total,517410,4833
2002,6019,Fresno,small/mid,West,Total,530926,5058
2003,6019,Fresno,small/mid,West,Total,544359,5375
2004,6019,Fresno,small/mid,West,Total,555796,5297
2005,6019,Fresno,small/mid,West,Total,565797,5187
2006,6019,Fresno,small/mid,West,Total,575629,5405
2007,6019,Fresno,small/mid,West,Total,584640,5528
2008,6019,Fresno,small/mid,West,Total,593849,5470
2009,6019,Fresno,small/mid,West,Total,601829,5300
2010,6019,Fresno,small/mid,West,Total,607629,4852
2011,6019,Fresno,small/mid,West,Total,608781,4345
2012,6019,Fresno,small/mid,West,Total,613452,3945
2013,6019,Fresno,small/mid,West,Total,615590,4214
2014,6019,Fresno,small/mid,West,Total,618622,4616
2015,6019,Fresno,small/mid,West,Total,622763,4203
1991,6021,Glenn,rural,West,Total,14909,93
1992,6021,Glenn,rural,West,Total,15132,102
1993,6021,Glenn,rural,West,Total,15158,98
1994,6021,Glenn,rural,West,Total,15222,107
1995,6021,Glenn,rural,West,Total,15409,114
1996,6021,Glenn,rural,West,Total,15532,111
1997,6021,Glenn,rural,West,Total,15774,126
1998,6021,Glenn,rural,West,Total,15919,162
1999,6021,Glenn,rural,West,Total,16158,146
2000,6021,Glenn,rural,West,Total,16330,140
2001,6021,Glenn,rural,West,Total,16493,139
2002,6021,Glenn,rural,West,Total,16684,136
2003,6021,Glenn,rural,West,Total,16949,160
2004,6021,Glenn,rural,West,Total,17169,187
2005,6021,Glenn,rural,West,Total,17430,161
2006,6021,Glenn,rural,West,Total,17543,189
2007,6021,Glenn,rural,West,Total,17625,170
2008,6021,Glenn,rural,West,Total,17770,147
2009,6021,Glenn,rural,West,Total,17763,122
2010,6021,Glenn,rural,West,Total,17865,135
2011,6021,Glenn,rural,West,Total,17879,112
2012,6021,Glenn,rural,West,Total,17930,109
2013,6021,Glenn,rural,West,Total,17725,117
2014,6021,Glenn,rural,West,Total,17636,110
2015,6021,Glenn,rural,West,Total,17607,103
1991,6023,Humboldt,rural,West,Total,78926,289
1992,6023,Humboldt,rural,West,Total,80411,323
1993,6023,Humboldt,rural,West,Total,81135,396
1994,6023,Humboldt,rural,West,Total,80903,440
1995,6023,Humboldt,rural,West,Total,82564,475
1996,6023,Humboldt,rural,West,Total,83121,506
1997,6023,Humboldt,rural,West,Total,84818,505
1998,6023,Humboldt,rural,West,Total,85764,529
1999,6023,Humboldt,rural,West,Total,86364,540
2000,6023,Humboldt,rural,West,Total,86842,512
2001,6023,Humboldt,rural,West,Total,88367,591
2002,6023,Humboldt,rural,West,Total,89658,641
2003,6023,Humboldt,rural,West,Total,90864,714
2004,6023,Humboldt,rural,West,Total,91862,655
2005,6023,Humboldt,rural,West,Total,92796,634
2006,6023,Humboldt,rural,West,Total,93310,677
2007,6023,Humboldt,rural,West,Total,93193,628
2008,6023,Humboldt,rural,West,Total,93401,590
2009,6023,Humboldt,rural,West,Total,93942,583
2010,6023,Humboldt,rural,West,Total,94594,630
2011,6023,Humboldt,rural,West,Total,94912,533
2012,6023,Humboldt,rural,West,Total,94814,427
2013,6023,Humboldt,rural,West,Total,93544,411
2014,6023,Humboldt,rural,West,Total,92664,373
2015,6023,Humboldt,rural,West,Total,91908,386
1991,6025,Imperial,small/mid,West,Total,71044,173
1992,6025,Imperial,small/mid,West,Total,75225,220
1993,6025,Imperial,small/mid,West,Total,81763,228
1994,6025,Imperial,small/mid,West,Total,83128,241
1995,6025,Imperial,small/mid,West,Total,85473,286
1996,6025,Imperial,small/mid,West,Total,86165,280
1997,6025,Imperial,small/mid,West,Total,87257,310
1998,6025,Imperial,small/mid,West,Total,88524,282
1999,6025,Imperial,small/mid,West,Total,89913,324
2000,6025,Imperial,small/mid,West,Total,91155,335
2001,6025,Imperial,small/mid,West,Total,92363,356
2002,6025,Imperial,small/mid,West,Total,93795,365
2003,6025,Imperial,small/mid,West,Total,96357,310
2004,6025,Imperial,small/mid,West,Total,98978,359
2005,6025,Imperial,small/mid,West,Total,101930,375
2006,6025,Imperial,small/mid,West,Total,105138,370
2007,6025,Imperial,small/mid,West,Total,108053,381
2008,6025,Imperial,small/mid,West,Total,110231,375
2009,6025,Imperial,small/mid,West,Total,112874,364
2010,6025,Imperial,small/mid,West,Total,114473,385
2011,6025,Imperial,small/mid,West,Total,114575,368
2012,6025,Imperial,small/mid,West,Total,115310,326
2013,6025,Imperial,small/mid,West,Total,115557,325
2014,6025,Imperial,small/mid,West,Total,114646,332
2015,6025,Imperial,small/mid,West,Total,115033,358
1991,6027,Inyo,rural,West,Total,10936,58
1992,6027,Inyo,rural,West,Total,10970,76
1993,6027,Inyo,rural,West,Total,10898,68
1994,6027,Inyo,rural,West,Total,10930,70
1995,6027,Inyo,rural,West,Total,10924,75
1996,6027,Inyo,rural,West,Total,10891,78
1997,6027,Inyo,rural,West,Total,11003,89
1998,6027,Inyo,rural,West,Total,10990,76
1999,6027,Inyo,rural,West,Total,10992,87
2000,6027,Inyo,rural,West,Total,11030,74
2001,6027,Inyo,rural,West,Total,11179,72
2002,6027,Inyo,rural,West,Total,11395,83
2003,6027,Inyo,rural,West,Total,11582,80
2004,6027,Inyo,rural,West,Total,11555,83
2005,6027,Inyo,rural,West,Total,11643,100
2006,6027,Inyo,rural,West,Total,11699,108
2007,6027,Inyo,rural,West,Total,11744,95
2008,6027,Inyo,rural,West,Total,11692,95
2009,6027,Inyo,rural,West,Total,11813,100
2010,6027,Inyo,rural,West,Total,11822,75
2011,6027,Inyo,rural,West,Total,11800,60
2012,6027,Inyo,rural,West,Total,11720,48
2013,6027,Inyo,rural,West,Total,11606,50
2014,6027,Inyo,rural,West,Total,11472,50
2015,6027,Inyo,rural,West,Total,11345,45
1991,6029,Kern,small/mid,West,Total,354796,3052
1992,6029,Kern,small/mid,West,Total,369070,3235
1993,6029,Kern,small/mid,West,Total,372961,3248
1994,6029,Kern,small/mid,West,Total,381942,3573
1995,6029,Kern,small/mid,West,Total,384471,3881
1996,6029,Kern,small/mid,West,Total,388314,4541
1997,6029,Kern,small/mid,West,Total,396546,5113
1998,6029,Kern,small/mid,West,Total,405536,5109
1999,6029,Kern,small/mid,West,Total,417071,5220
2000,6029,Kern,small/mid,West,Total,424290,5286
2001,6029,Kern,small/mid,West,Total,435063,5331
2002,6029,Kern,small/mid,West,Total,448642,5584
2003,6029,Kern,small/mid,West,Total,463630,5501
2004,6029,Kern,small/mid,West,Total,479623,5359
2005,6029,Kern,small/mid,West,Total,497617,5281
2006,6029,Kern,small/mid,West,Total,515491,5219
2007,6029,Kern,small/mid,West,Total,529237,5027
2008,6029,Kern,small/mid,West,Total,539056,5007
2009,6029,Kern,small/mid,West,Total,547484,4898
2010,6029,Kern,small/mid,West,Total,554134,4828
2011,6029,Kern,small/mid,West,Total,555057,4329
2012,6029,Kern,small/mid,West,Total,560016,3683
2013,6029,Kern,small/mid,West,Total,561443,3895
2014,6029,Kern,small/mid,West,Total,565380,3727
2015,6029,Kern,small/mid,West,Total,569845,3558
1991,6031,Kings,small/mid,West,Total,68161,432
1992,6031,Kings,small/mid,West,Total,70265,429
1993,6031,Kings,small/mid,West,Total,71168,570
1994,6031,Kings,small/mid,West,Total,72514,631
1995,6031,Kings,small/mid,West,Total,73713,617
1996,6031,Kings,small/mid,West,Total,74620,680
1997,6031,Kings,small/mid,West,Total,75855,775
1998,6031,Kings,small/mid,West,Total,80599,814
1999,6031,Kings,small/mid,West,Total,85509,861
2000,6031,Kings,small/mid,West,Total,88565,997
2001,6031,Kings,small/mid,West,Total,91098,969
2002,6031,Kings,small/mid,West,Total,92972,1095
2003,6031,Kings,small/mid,West,Total,96034,1167
2004,6031,Kings,small/mid,West,Total,99516,1211
2005,6031,Kings,small/mid,West,Total,100476,1218
2006,6031,Kings,small/mid,West,Total,102559,1344
2007,6031,Kings,small/mid,West,Total,104410,1328
2008,6031,Kings,small/mid,West,Total,105265,1334
2009,6031,Kings,small/mid,West,Total,104926,1444
2010,6031,Kings,small/mid,West,Total,105187,1488
2011,6031,Kings,small/mid,West,Total,104640,1343
2012,6031,Kings,small/mid,West,Total,104020,1217
2013,6031,Kings,small/mid,West,Total,103314,1297
2014,6031,Kings,small/mid,West,Total,102389,1186
2015,6031,Kings,small/mid,West,Total,101316,988
1991,6033,Lake,rural,West,Total,30029,243
1992,6033,Lake,rural,West,Total,31008,237
1993,6033,Lake,rural,West,Total,31677,262
1994,6033,Lake,rural,West,Total,32185,253
1995,6033,Lake,rural,West,Total,32416,274
1996,6033,Lake,rural,West,Total,32599,304
1997,6033,Lake,rural,West,Total,32909,332
1998,6033,Lake,rural,West,Total,33640,335
1999,6033,Lake,rural,West,Total,34396,353
2000,6033,Lake,rural,West,Total,35696,407
2001,6033,Lake,rural,West,Total,37251,417
2002,6033,Lake,rural,West,Total,38539,450
2003,6033,Lake,rural,West,Total,39610,488
2004,6033,Lake,rural,West,Total,40551,513
2005,6033,Lake,rural,West,Total,41455,538
2006,6033,Lake,rural,West,Total,42070,554
2007,6033,Lake,rural,West,Total,42031,548
2008,6033,Lake,rural,West,Total,42112,492
2009,6033,Lake,rural,West,Total,42000,436
2010,6033,Lake,rural,West,Total,42130,401
2011,6033,Lake,rural,West,Total,42177,359
2012,6033,Lake,rural,West,Total,41685,319
2013,6033,Lake,rural,West,Total,40909,320
2014,6033,Lake,rural,West,Total,40341,329
2015,6033,Lake,rural,West,Total,39956,337
1991,6035,Lassen,rural,West,Total,19031,77
1992,6035,Lassen,rural,West,Total,19497,117
1993,6035,Lassen,rural,West,Total,19625,106
1994,6035,Lassen,rural,West,Total,19390,137
1995,6035,Lassen,rural,West,Total,19548,138
1996,6035,Lassen,rural,West,Total,22268,180
1997,6035,Lassen,rural,West,Total,24531,153
1998,6035,Lassen,rural,West,Total,24660,171
1999,6035,Lassen,rural,West,Total,24644,155
2000,6035,Lassen,rural,West,Total,24667,169
2001,6035,Lassen,rural,West,Total,24579,172
2002,6035,Lassen,rural,West,Total,24615,194
2003,6035,Lassen,rural,West,Total,25101,175
2004,6035,Lassen,rural,West,Total,25667,160
2005,6035,Lassen,rural,West,Total,25910,140
2006,6035,Lassen,rural,West,Total,26062,153
2007,6035,Lassen,rural,West,Total,27080,173
2008,6035,Lassen,rural,West,Total,26666,165
2009,6035,Lassen,rural,West,Total,26583,142
2010,6035,Lassen,rural,West,Total,26348,133
2011,6035,Lassen,rural,West,Total,26319,121
2012,6035,Lassen,rural,West,Total,25905,112
2013,6035,Lassen,rural,West,Total,25275,103
2014,6035,Lassen,rural,West,Total,23727,106
2015,6035,Lassen,rural,West,Total,23394,93
1991,6037,Los Angeles,urban,West,Total,6000258,39613
1992,6037,Los Angeles,urban,West,Total,6052872,42427
1993,6037,Los Angeles,urban,West,Total,6040712,45875
1994,6037,Los Angeles,urban,West,Total,6006262,46147
1995,6037,Los Angeles,urban,West,Total,5972978,48700
1996,6037,Los Angeles,urban,West,Total,5980697,52018
1997,6037,Los Angeles,urban,West,Total,6058156,55423
1998,6037,Los Angeles,urban,West,Total,6162333,57340
1999,6037,Los Angeles,urban,West,Total,6263676,56581
2000,6037,Los Angeles,urban,West,Total,6345857,55480
2001,6037,Los Angeles,urban,West,Total,6425162,53433
2002,6037,Los Angeles,urban,West,Total,6504595,52953
2003,6037,Los Angeles,urban,West,Total,6572707,53995
2004,6037,Los Angeles,urban,West,Total,6623389,55122
2005,6037,Los Angeles,urban,West,Total,6656941,55924
2006,6037,Los Angeles,urban,West,Total,6670736,57853
2007,6037,Los Angeles,urban,West,Total,6675706,58091
2008,6037,Los Angeles,urban,West,Total,6715023,57888
2009,6037,Los Angeles,urban,West,Total,6764583,56761
2010,6037,Los Angeles,urban,West,Total,6794656,54748
2011,6037,Los Angeles,urban,West,Total,6801437,50843
2012,6037,Los Angeles,urban,West,Total,6851335,46694
2013,6037,Los Angeles,urban,West,Total,6892476,46616
2014,6037,Los Angeles,urban,West,Total,6928498,45647
2015,6037,Los Angeles,urban,West,Total,6952675,42969
1991,6039,Madera,small/mid,West,Total,58286,523
1992,6039,Madera,small/mid,West,Total,61329,515
1993,6039,Madera,small/mid,West,Total,64255,521
1994,6039,Madera,small/mid,West,Total,66304,610
1995,6039,Madera,small/mid,West,Total,67438,659
1996,6039,Madera,small/mid,West,Total,70189,588
1997,6039,Madera,small/mid,West,Total,73087,655
1998,6039,Madera,small/mid,West,Total,75623,672
1999,6039,Madera,small/mid,West,Total,78254,637
2000,6039,Madera,small/mid,West,Total,79695,751
2001,6039,Madera,small/mid,West,Total,80979,728
2002,6039,Madera,small/mid,West,Total,82797,759
2003,6039,Madera,small/mid,West,Total,85778,745
2004,6039,Madera,small/mid,West,Total,88832,775
2005,6039,Madera,small/mid,West,Total,91280,783
2006,6039,Madera,small/mid,West,Total,93594,766
2007,6039,Madera,small/mid,West,Total,95250,796
2008,6039,Madera,small/mid,West,Total,96701,782
2009,6039,Madera,small/mid,West,Total,97063,732
2010,6039,Madera,small/mid,West,Total,98095,635
2011,6039,Madera,small/mid,West,Total,98195,560
2012,6039,Madera,small/mid,West,Total,98617,516
2013,6039,Madera,small/mid,West,Total,97774,568
2014,6039,Madera,small/mid,West,Total,97333,540
2015,6039,Madera,small/mid,West,Total,98860,534
1991,6041,Marin,suburban,West,Total,164652,259
1992,6041,Marin,suburban,West,Total,165683,274
1993,6041,Marin,suburban,West,Total,166014,304
1994,6041,Marin,suburban,West,Total,165695,321
1995,6041,Marin,suburban,West,Total,164972,345
1996,6041,Marin,suburban,West,Total,163718,402
1997,6041,Marin,suburban,West,Total,166482,431
1998,6041,Marin,suburban,West,Total,169402,422
1999,6041,Marin,suburban,West,Total,170889,426
2000,6041,Marin,suburban,West,Total,171991,396
2001,6041,Marin,suburban,West,Total,171923,372
2002,6041,Marin,suburban,West,Total,170365,391
2003,6041,Marin,suburban,West,Total,168891,404
2004,6041,Marin,suburban,West,Total,167090,376
2005,6041,Marin,suburban,West,Total,166709,367
2006,6041,Marin,suburban,West,Total,166281,379
2007,6041,Marin,suburban,West,Total,166601,401
2008,6041,Marin,suburban,West,Total,166508,415
2009,6041,Marin,suburban,West,Total,166773,426
2010,6041,Marin,suburban,West,Total,166570,401
2011,6041,Marin,suburban,West,Total,166652,342
2012,6041,Marin,suburban,West,Total,167108,316
2013,6041,Marin,suburban,West,Total,165227,274
2014,6041,Marin,suburban,West,Total,165184,265
2015,6041,Marin,suburban,West,Total,165082,252
1991,6043,Mariposa,rural,West,Total,9511,9
1992,6043,Mariposa,rural,West,Total,9860,9
1993,6043,Mariposa,rural,West,Total,10034,8
1994,6043,Mariposa,rural,West,Total,10237,21
1995,6043,Mariposa,rural,West,Total,10414,39
1996,6043,Mariposa,rural,West,Total,10652,37
1997,6043,Mariposa,rural,West,Total,10607,45
1998,6043,Mariposa,rural,West,Total,11015,61
1999,6043,Mariposa,rural,West,Total,11043,66
2000,6043,Mariposa,rural,West,Total,11181,68
2001,6043,Mariposa,rural,West,Total,11194,46
2002,6043,Mariposa,rural,West,Total,11307,45
2003,6043,Mariposa,rural,West,Total,11641,45
2004,6043,Mariposa,rural,West,Total,11803,53
2005,6043,Mariposa,rural,West,Total,11903,48
2006,6043,Mariposa,rural,West,Total,12105,41
2007,6043,Mariposa,rural,West,Total,12165,56
2008,6043,Mariposa,rural,West,Total,12035,55
2009,6043,Mariposa,rural,West,Total,11830,59
2010,6043,Mariposa,rural,West,Total,11846,65
2011,6043,Mariposa,rural,West,Total,11865,55
2012,6043,Mariposa,rural,West,Total,11716,47
2013,6043,Mariposa,rural,West,Total,11292,55
2014,6043,Mariposa,rural,West,Total,11134,51
2015,6043,Mariposa,rural,West,Total,10945,53
1991,6045,Mendocino,rural,West,Total,51154,254
1992,6045,Mendocino,rural,West,Total,51376,278
1993,6045,Mendocino,rural,West,Total,51307,297
1994,6045,Mendocino,rural,West,Total,51535,282
1995,6045,Mendocino,rural,West,Total,52226,309
1996,6045,Mendocino,rural,West,Total,52770,325
1997,6045,Mendocino,rural,West,Total,53781,351
1998,6045,Mendocino,rural,West,Total,54899,341
1999,6045,Mendocino,rural,West,Total,55897,319
2000,6045,Mendocino,rural,West,Total,56848,315
2001,6045,Mendocino,rural,West,Total,57474,344
2002,6045,Mendocino,rural,West,Total,58146,354
2003,6045,Mendocino,rural,West,Total,59022,360
2004,6045,Mendocino,rural,West,Total,59212,406
2005,6045,Mendocino,rural,West,Total,59324,406
2006,6045,Mendocino,rural,West,Total,59017,386
2007,6045,Mendocino,rural,West,Total,58729,353
2008,6045,Mendocino,rural,West,Total,58624,396
2009,6045,Mendocino,rural,West,Total,58570,385
2010,6045,Mendocino,rural,West,Total,58351,352
2011,6045,Mendocino,rural,West,Total,58213,298
2012,6045,Mendocino,rural,West,Total,57370,303
2013,6045,Mendocino,rural,West,Total,56385,319
2014,6045,Mendocino,rural,West,Total,55521,323
2015,6045,Mendocino,rural,West,Total,54916,341
1991,6047,Merced,small/mid,West,Total,112912,511
1992,6047,Merced,small/mid,West,Total,114772,551
1993,6047,Merced,small/mid,West,Total,116353,599
1994,6047,Merced,small/mid,West,Total,118986,686
